Integration Time (micros): 98000         
Min saturation: -188.99394239295856         
Max saturation: 916.0969101751331         
Wavelength (nm), Intensity (Counts)
4.207154322176481287e+02,3.385076278879095753e+03
4.209283327619499460e+02,3.423455828526251025e+03
4.211412189107491031e+02,3.500214927820561570e+03
4.213540906626625997e+02,3.388914233843811417e+03
4.215669480163070943e+02,3.377400368949664880e+03
4.217797909702998709e+02,3.473349243067552834e+03
4.219926195232575878e+02,3.392752188808526626e+03
4.222054336737974154e+02,3.385076278879095753e+03
4.224182334205361258e+02,3.402347076220315557e+03
4.226310187620907186e+02,3.369724459020233553e+03
4.228437896970780798e+02,3.333263886855436340e+03
4.230565462241152090e+02,3.273775584902345599e+03
4.232692883418189354e+02,3.392752188808526626e+03
4.234820160488063721e+02,3.386995256361453357e+03
4.236947293436942914e+02,3.350534684196656144e+03
4.239074282250996930e+02,3.302560247137711940e+03
4.241201126916395197e+02,3.340939796784867212e+03
4.243327827419307141e+02,3.388914233843811417e+03
4.245454383745901623e+02,3.390833211326169021e+03
4.247580795882348639e+02,3.367805481537875949e+03
4.249707063814816479e+02,3.413860941114462094e+03
4.251833187529475708e+02,3.575055049632514510e+03
4.253959167012495186e+02,3.352453661679013749e+03
4.256085002250044340e+02,3.454159468243975425e+03
4.258210693228292598e+02,3.362048549090802680e+03
4.260336239933408820e+02,3.419617873561535362e+03
4.262461642351562432e+02,3.415779918596820153e+03
4.264586900468923432e+02,3.404266053702673616e+03
4.266712014271660678e+02,3.312155134549500872e+03
4.268836983745943598e+02,3.400428098737957953e+03
4.270961808877941621e+02,3.337101841820151549e+03
4.273086489653824174e+02,3.477187198032268498e+03
4.275211026059760115e+02,3.402347076220315557e+03
4.277335418081918874e+02,3.498295950338203966e+03
4.279459665706471014e+02,3.315993089514216081e+03
4.281583768919584259e+02,3.369724459020233553e+03
4.283707727707429171e+02,3.400428098737957953e+03
4.285831542056174612e+02,3.356291616643729412e+03
4.287955211951989440e+02,3.400428098737957953e+03
4.290078737381044220e+02,3.392752188808526626e+03
4.292202118329506675e+02,3.411941963632104489e+03
4.294325354783548505e+02,3.450321513279259761e+03
4.296448446729335728e+02,3.371643436502591612e+03
4.298571394153040615e+02,3.392752188808526626e+03
4.300694197040831455e+02,3.346696729231940481e+03
4.302816855378877676e+02,3.459916400691048693e+03
4.304939369153348139e+02,3.321750021961289349e+03
4.307061738350413407e+02,3.479106175514626102e+03
4.309183962956241771e+02,3.292965359725923008e+03
4.311306042957002091e+02,3.419617873561535362e+03
4.313427978338865501e+02,3.400428098737957953e+03
4.315549769087999721e+02,3.415779918596820153e+03
4.317671415190574749e+02,3.410022986149746885e+03
4.319792916632760580e+02,3.434969693420397562e+03
4.321914273400725506e+02,3.386995256361453357e+03
4.324035485480639522e+02,3.323668999443647408e+03
4.326156552858671489e+02,3.408104008667388825e+03
4.328277475520990265e+02,3.471430265585195230e+03
4.330398253453767552e+02,3.337101841820151549e+03
4.332518886643169367e+02,3.379319346432022485e+03
4.334639375075368548e+02,3.392752188808526626e+03
4.336759718736531681e+02,3.523242657608854643e+03
4.338879917612829900e+02,3.406185031185031221e+03
4.340999971690430925e+02,3.350534684196656144e+03
4.343119880955505323e+02,3.417698896079177757e+03
4.345239645394221952e+02,3.442645603349828889e+03
4.347359264992750241e+02,3.442645603349828889e+03
4.349478739737260184e+02,3.327506954408363072e+03
4.351598069613919506e+02,3.375481391467306821e+03
4.353717254608899907e+02,3.410022986149746885e+03
4.355836294708368541e+02,3.413860941114462094e+03
4.357955189898495973e+02,3.340939796784867212e+03
4.360073940165451063e+02,3.386995256361453357e+03
4.362192545495403238e+02,3.369724459020233553e+03
4.364311005874522493e+02,3.429212760973324293e+03
4.366429321288977690e+02,3.373562413984949217e+03
4.368547491724937117e+02,3.363967526573160285e+03
4.370665517168572478e+02,3.440726625867470830e+03
4.372783397606050357e+02,3.373562413984949217e+03
4.374901133023543025e+02,3.461835378173406298e+03
4.377018723407217635e+02,3.329425931890720676e+03
4.379136168743243616e+02,3.325587976926005013e+03
4.381253469017792099e+02,3.417698896079177757e+03
4.383370624217030240e+02,3.475268220549910893e+03
4.385487634327129172e+02,3.396590143773242289e+03
4.387604499334257753e+02,3.427293783490966689e+03
4.389721219224584274e+02,3.402347076220315557e+03
4.391837793984279870e+02,3.417698896079177757e+03
4.393954223599511693e+02,3.362048549090802680e+03
4.396070508056450876e+02,3.421536851043893421e+03
4.398186647341266848e+02,3.463754355655763902e+03
4.400302641440127331e+02,3.352453661679013749e+03
4.402418490339203458e+02,3.333263886855436340e+03
4.404534194024664089e+02,3.396590143773242289e+03
4.406649752482678082e+02,3.346696729231940481e+03
4.408765165699414297e+02,3.329425931890720676e+03
4.410880433661043298e+02,3.411941963632104489e+03
4.412995556353733377e+02,3.398509121255600348e+03
4.415110533763655667e+02,3.402347076220315557e+03
4.417225365876977321e+02,3.327506954408363072e+03
4.419340052679869473e+02,3.438807648385113225e+03
4.421454594158499845e+02,3.348615706714298085e+03
4.423568990299039001e+02,3.396590143773242289e+03
4.425683241087655801e+02,3.444564580832186493e+03
4.427797346510519674e+02,3.340939796784867212e+03
4.429911306553800614e+02,3.339020819302509608e+03
4.432025121203666345e+02,3.360129571608444621e+03
4.434138790446287430e+02,3.337101841820151549e+03
4.436252314267833867e+02,3.473349243067552834e+03
4.438365692654473378e+02,3.383157301396738148e+03
4.440478925592375958e+02,3.404266053702673616e+03
4.442592013067712742e+02,3.373562413984949217e+03
4.444704955066648608e+02,3.362048549090802680e+03
4.446817751575358670e+02,3.321750021961289349e+03
4.448930402580007240e+02,3.243071945184621200e+03
4.451042908066767154e+02,3.444564580832186493e+03
4.453155268021805568e+02,3.482944130479341766e+03
4.455267482431292478e+02,3.381238323914380089e+03
4.457379551281398449e+02,3.377400368949664880e+03
4.459491474558291202e+02,3.521323680126497038e+03
4.461603252248140166e+02,3.381238323914380089e+03
4.463714884337115905e+02,3.339020819302509608e+03
4.465826370811386710e+02,3.375481391467306821e+03
4.467937711657123145e+02,3.392752188808526626e+03
4.470048906860492366e+02,3.400428098737957953e+03
4.472159956407666073e+02,3.452240490761617366e+03
4.474270860284812557e+02,3.323668999443647408e+03
4.476381618478100677e+02,3.373562413984949217e+03
4.478492230973700998e+02,3.377400368949664880e+03
4.480602697757781243e+02,3.312155134549500872e+03
4.482713018816513681e+02,3.396590143773242289e+03
4.484823194136063762e+02,3.323668999443647408e+03
4.486933223702603755e+02,3.456078445726333030e+03
4.489043107502301382e+02,3.400428098737957953e+03
4.491152845521327208e+02,3.436888670902755621e+03
4.493262437745850093e+02,3.494457995373488302e+03
4.495371884162039464e+02,3.423455828526251025e+03
4.497481184756064181e+02,3.413860941114462094e+03
4.499590339514094239e+02,3.469511288102837625e+03
4.501699348422298499e+02,3.285289449796492136e+03
4.503808211466846387e+02,3.383157301396738148e+03
4.505916928633907901e+02,3.408104008667388825e+03
4.508025499909651330e+02,3.392752188808526626e+03
4.510133925280247240e+02,3.431131738455681898e+03
4.512242204731863922e+02,3.400428098737957953e+03
4.514350338250670802e+02,3.335182864337793944e+03
4.516458325822837878e+02,3.492539017891130698e+03
4.518566167434534577e+02,3.346696729231940481e+03
4.520673863071929759e+02,3.323668999443647408e+03
4.522781412721193419e+02,3.342858774267224817e+03
4.524888816368492712e+02,3.383157301396738148e+03
4.526996073999999908e+02,3.404266053702673616e+03
4.529103185601882728e+02,3.431131738455681898e+03
4.531210151160311170e+02,3.431131738455681898e+03
4.533316970661454093e+02,3.352453661679013749e+03
4.535423644091480924e+02,3.419617873561535362e+03
4.537530171436561659e+02,3.298722292172996276e+03
4.539636552682864590e+02,3.369724459020233553e+03
4.541742787816559712e+02,3.354372639161371353e+03
4.543848876823816454e+02,3.400428098737957953e+03
4.545954819690803674e+02,3.417698896079177757e+03
4.548060616403691938e+02,3.461835378173406298e+03
4.550166266948648968e+02,3.315993089514216081e+03
4.552271771311844759e+02,3.408104008667388825e+03
4.554377129479449877e+02,3.507890837749992897e+03
4.556482341437631476e+02,3.528999590055927911e+03
4.558587407172560688e+02,3.254585810078767736e+03
4.560692326670405237e+02,3.496376972855845906e+03
4.562797099917336823e+02,3.362048549090802680e+03
4.564901726899521464e+02,3.454159468243975425e+03
4.567006207603131998e+02,3.335182864337793944e+03
4.569110542014336147e+02,3.388914233843811417e+03
4.571214730119302772e+02,3.444564580832186493e+03
